window,gene,category,count,count_ols
100kb,cfhl2,sig. positive,8,8
100kb,cfhl3,sig. negative,2,2
100kb,cfhl3,sig. positive,2,2
100kb,cfl1l,sig. negative,1,1
100kb,cgnb,sig. negative,15,15
100kb,cgnb,sig. positive,14,14
100kb,chaf1a,sig. negative,18,18
100kb,chaf1a,sig. positive,19,19
100kb,chchd3a,sig. negative,3,3
100kb,chchd3a,sig. positive,1,1
100kb,chd3,sig. negative,4,4
100kb,chd3,sig. positive,4,4
100kb,chd9,sig. negative,1,1
100kb,chd9,sig. positive,1,1
100kb,chek2,sig. negative,1,1
100kb,chek2,sig. positive,3,3
100kb,cherp,sig. negative,2,2
100kb,cherp,sig. positive,9,9
100kb,chkb,sig. negative,1,1
100kb,chkb,sig. positive,2,2
100kb,chmp2a,sig. negative,3,3
100kb,chmp2a,sig. positive,2,2
100kb,chp1,sig. negative,13,13
100kb,chp1,sig. positive,17,17
100kb,chrm5a,sig. negative,1,1
100kb,chst15,sig. negative,12,12
100kb,chst15,sig. positive,15,15
100kb,chsy1,sig. negative,5,5
100kb,chsy1,sig. positive,6,6
100kb,ciao2a,sig. negative,13,13
100kb,ciao2a,sig. positive,21,21
100kb,ciapin1,sig. negative,9,9
100kb,ciapin1,sig. positive,12,12
100kb,ciarta,sig. negative,13,13
100kb,ciarta,sig. positive,5,5
100kb,cica,sig. positive,1,1
100kb,ckap4,sig. positive,1,1
100kb,ckmb,sig. negative,1,1
100kb,ckmb,sig. positive,1,1
100kb,clasrp,sig. negative,10,10
100kb,clasrp,sig. positive,9,9
100kb,clcn1a,sig. negative,1,1
100kb,clcn1a,sig. positive,2,2
100kb,clcn2a,sig. negative,1,1
100kb,clcn2a,sig. positive,3,3
100kb,clcn5b,sig. negative,10,10
100kb,clcn5b,sig. positive,11,11
100kb,cldn10a,sig. positive,1,1
100kb,cldn10b,sig. negative,2,2
100kb,cldn10b,sig. positive,2,2
100kb,cldn15b,sig. negative,13,13
100kb,cldn15b,sig. positive,16,16
100kb,clec16a,sig. negative,1,1
100kb,clec16a,sig. positive,1,1
100kb,clec3ba,sig. positive,1,1
100kb,clec3bb,sig. positive,1,1
100kb,clic3,sig. negative,9,9
100kb,clic3,sig. positive,5,5
100kb,clrn1,sig. negative,14,14
100kb,clrn1,sig. positive,14,14
100kb,cluap1,sig. negative,4,4
100kb,cluap1,sig. positive,7,7
100kb,cmc2,sig. positive,1,1
100kb,cmpk,sig. negative,1,1
100kb,cmpk,sig. positive,1,1
100kb,cnksr1,sig. negative,8,8
100kb,cnksr1,sig. positive,8,8
100kb,cnot11,sig. negative,1,1
100kb,cnot11,sig. positive,2,2
100kb,cnot2,sig. negative,5,5
100kb,cnot2,sig. positive,3,3
100kb,cnot3b,sig. negative,17,17
100kb,cnot3b,sig. positive,18,18
100kb,cnpy1,sig. negative,1,1
100kb,cnpy4,sig. negative,13,13
100kb,cnpy4,sig. positive,13,13
100kb,cnr1,sig. negative,8,8
100kb,cnr1,sig. positive,10,10
100kb,cntf,sig. negative,1,1
100kb,cntf,sig. positive,1,1
100kb,cntn3b,sig. negative,3,3
100kb,cntn3b,sig. positive,2,2
100kb,cntn4,sig. negative,22,22
100kb,cntn4,sig. positive,13,13
100kb,coa8,sig. negative,9,9
100kb,coa8,sig. positive,2,2
100kb,col11a1a,sig. positive,1,1
100kb,col12a1a,sig. negative,14,14
100kb,col12a1a,sig. positive,19,19
100kb,col1a1b,sig. positive,2,2
100kb,col28a2b,sig. negative,5,5
100kb,col28a2b,sig. positive,9,9
100kb,col4a3,sig. negative,1,1
100kb,col4a3,sig. positive,2,2
100kb,col4a4,sig. negative,18,18
100kb,col4a4,sig. positive,16,16
100kb,col5a3a,sig. negative,20,20
100kb,col5a3a,sig. positive,13,13
100kb,colq,sig. negative,9,9
100kb,colq,sig. positive,10,10
100kb,commd3,sig. negative,3,3
100kb,commd3,sig. positive,1,1
100kb,comtb,sig. negative,2,2
100kb,comtb,sig. positive,3,3
100kb,cops3,sig. negative,11,11
100kb,cops3,sig. positive,10,10
100kb,cops7a,sig. positive,1,1
100kb,coq8ab,sig. negative,7,7
100kb,coq8ab,sig. positive,8,8
100kb,cox16,sig. negative,10,10
100kb,cox16,sig. positive,7,7
100kb,cox19,sig. negative,11,11
100kb,cox19,sig. positive,12,12
100kb,cox4i1,sig. negative,20,20
100kb,cox4i1,sig. positive,15,15
100kb,cox4i2,sig. negative,12,12
100kb,cox4i2,sig. positive,11,11
100kb,cox5aa,sig. negative,6,6
100kb,cox5aa,sig. positive,5,5
100kb,cox5ab,sig. negative,18,18
100kb,cox5ab,sig. positive,15,15
100kb,cpeb2,sig. negative,1,1
100kb,cpeb3,sig. positive,1,1
100kb,cpox,sig. negative,2,2
100kb,cpox,sig. positive,4,4
100kb,crabp1b,sig. negative,9,9
100kb,crabp1b,sig. positive,10,10
100kb,cracr2ab,sig. negative,17,17
100kb,cracr2ab,sig. positive,13,13
100kb,crbn,sig. negative,13,13
100kb,crbn,sig. positive,18,18
100kb,crestin,sig. negative,2,2
100kb,crfb2,sig. negative,1,1
100kb,crip2l,sig. negative,7,7
100kb,crip2l,sig. positive,9,9
100kb,crmp1,sig. positive,3,3
100kb,crot,sig. negative,13,13
100kb,crot,sig. positive,13,13
100kb,crp3,sig. negative,14,14
100kb,crp3,sig. positive,13,13
100kb,crsp7,sig. negative,7,7
100kb,crsp7,sig. positive,9,9
100kb,crtac1a,sig. negative,11,11
100kb,crtac1a,sig. positive,11,11
100kb,crtac1b,sig. negative,4,4
100kb,crtac1b,sig. positive,4,4
100kb,crtc3,sig. negative,3,3
100kb,cry1b,sig. positive,1,1
100kb,cryaba,sig. negative,6,6
100kb,cryaba,sig. positive,6,6
100kb,cryba2a,sig. negative,16,16
100kb,cryba2a,sig. positive,17,17
100kb,crybb1l3,sig. negative,8,8
100kb,crybb1l3,sig. positive,7,7
